ID,NombreEmpleado,Departamento,Cargo,Oficina,TipoContrato,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,LogSalarioTotal,OvertimeRatio,BeneficiosRatio,ExtraVsBase,BeneficiosVsSalario,KMeans_Cluster,DBSCAN_Cluster,Anomaly_IF,Anomaly_LOF,Anomalia_Ambos_Modelos
11,Luis Diego Vargas Sanchez,Tecnologia (Tech),Analista de Datos,Oficina Regional,Full-Time,4880,795.0,757,1430.0,5637,7067,8.637284671674058,0.1628764597418562,0.25363604114934374,0.1628764597418562,0.29297275148535135,0,0,Normal,Normal,No
12,Rosa Daniela Suarez Ortega,Finanzas,Controller Financiero,Planta Industrial,Part-Time,883,131.0,654,1207.0,1668,2875,7.419979923661835,0.14819004524886878,0.7231875374475734,0.14819004524886878,1.3653846153846154,1,0,Anomalía,Normal,No
13,Silvia Laura Garcia Castro,Sostenibilidad,Coordinador de Agro,Oficinas Administrativas,Part-Time,3619,740.0,304,929.0,4663,5592,8.447628728030327,0.20441988950276244,0.1991852487135506,0.20441988950276244,0.25662983425414365,0,0,Normal,Normal,No
14,Raul Eduardo Sanchez Perez,Operaciones (Supply),Maestro Cervecero,Oficina Regional,,3203,1090.0,281,207.0,4574,4781,8.428361977709622,0.34019975031210986,0.04524590163934426,0.34019975031210986,0.06460674157303371,0,0,Normal,Normal,No
15,Pedro Sergio Herrera Martinez,People (RRHH),Reclutador (Trainee),Planta Industrial,Full-Time,4642,330.0,327,849.0,5299,5299,8.575462099540212,0.07107473616196425,0.16018867924528302,0.07107473616196425,0.18285591212578076,0,0,Normal,Normal,No
16,Carlos Luis Ramirez Gonzalez,Operaciones (Supply),Analista de Calidad,Planta Industrial,Full-Time,2644,889.0,478,1067.0,4011,5078,8.297045149081827,0.33610586011342153,0.26595214356929214,0.33610586011342153,0.4034026465028355,3,0,Normal,Normal,No
17,Andres Ricardo Sanchez Castro,Marketing,Brand Manager,Oficina Regional,Part-Time,2980,1317.0,598,1200.0,4895,6095,8.496173824192162,0.4417980543441798,0.24509803921568626,0.4417980543441798,0.4025494800402549,3,0,Normal,Normal,No
18,Ricardo Carlos Rodriguez Martinez,Operaciones (Supply),Analista de Calidad,Oficina Regional,Full-Time,4095,1422.0,327,713.0,5844,6557,8.67334187390617,0.34716796875,0.12198460222412318,0.34716796875,0.174072265625,0,0,Normal,Normal,No
19,Fernando Sergio Ortega Delgado,Comercial / Ventas,Key Account Manager,Centros de Distribucion,,1062,282.0,984,797.0,2328,3125,7.753194269884341,0.26528692380056446,0.34220695577501076,0.26528692380056446,0.7497648165569144,3,0,Normal,Normal,No
20,Patricia Sofia Castro Morales,Operaciones (Supply),Maestro Cervecero,Oficina Regional,Part-Time,4734,319.0,787,1313.0,5840,7153,8.67265729404031,0.06737064413938754,0.22479027563773327,0.06737064413938754,0.27729672650475184,0,0,Normal,Normal,No
21,Monica Daniela Gonzalez Morales,People (RRHH),Business Partner,Oficinas Administrativas,,2803,194.0,428,923.0,3425,4348,8.139148678884066,0.06918687589158345,0.26941039112667836,0.06918687589158345,0.32917261055634806,3,0,Normal,Normal,No
22,Elena Camila Ramirez Perez,People (RRHH),Business Partner,Oficinas Administrativas,Part-Time,4521,260.0,307,1424.0,5088,6512,8.534836626588833,0.05749668288367979,0.2798192179210061,0.05749668288367979,0.3149049093321539,0,0,Normal,Normal,No
23,Ana Monica Rodriguez Ortega,People (RRHH),Business Partner,Oficina Regional,Part-Time,1108,353.0,186,937.0,1647,2584,7.4073177104694174,0.31830477908025245,0.5685679611650486,0.31830477908025245,0.8449053201082056,1,0,Normal,Normal,No
24,Paula Carmen Morales Perez,Operaciones (Supply),Analista de Calidad,Oficina Regional,Part-Time,3100,1003.0,448,870.0,4551,5421,8.423321975806166,0.3234440503063528,0.19112478031634447,0.3234440503063528,0.28055465978716543,0,0,Normal,Normal,No
25,Elena Patricia Mendoza Lopez,Comercial / Ventas,Key Account Manager,Oficina Regional,Part-Time,4293,449.0,58,1499.0,4800,6299,8.476579508530941,0.10456450861667443,0.3122266194542804,0.10456450861667443,0.3490917559385189,0,0,Normal,Normal,No
26,Monica Maria Herrera Diaz,Tecnologia (Tech),Analista de Datos,Oficinas Administrativas,Part-Time,3516,520.0,147,1498.0,4183,5681,8.339023005744759,0.14785328404890533,0.3580305927342256,0.14785328404890533,0.42593119135626956,3,0,Normal,Normal,No
27,Natalia Gabriela Rodriguez Suarez,Marketing,Brand Manager,Planta Industrial (Matriz),,3008,1103.0,128,858.0,4239,5097,8.352318548226004,0.3665669657693586,0.20235849056603775,0.3665669657693586,0.2851445663010967,0,0,Normal,Normal,No
28,Gabriela Silvia Martinez Mendoza,Operaciones (Supply),Analista de Calidad,Oficina Regional,Part-Time,3800,207.0,871,849.0,4878,4878,8.492695559815838,0.05445935280189424,0.17401106784177087,0.05445935280189424,0.22336227308603,0,0,Normal,Normal,No
29,Natalia Veronica Perez Delgado,Tecnologia (Tech),Analista de Datos,Planta Industrial,Part-Time,2106,795.0,857,1002.0,2963,3965,7.994294986415977,0.37731371618414805,0.33805668016194335,0.37731371618414805,0.4755576649264357,3,0,Normal,Normal,No
30,Lucia Ana Garcia Suarez,Marketing,Trade Marketing,Centros de Distribucion,Part-Time,2363,364.0,828,1487.0,3555,5042,8.176391596633795,0.15397631133671744,0.41816647919010125,0.15397631133671744,0.6290186125211505,3,0,Normal,Normal,No
31,Laura Natalia Sanchez Vargas,Marketing,Trade Marketing,Planta Industrial (Matriz),Full-Time,1890,619.0,144,1093.0,2653,3746,7.8838232148921525,0.3273400317292438,0.4118311981914092,0.3273400317292438,0.5780010576414596,3,0,Normal,Normal,No
32,Sergio Fernando Lopez Rojas,People (RRHH),Reclutador (Trainee),Planta Industrial (Matriz),Full-Time,2426,1012.0,401,849.0,3839,3839,8.253227645581772,0.41697569015245156,0.22109375,0.41697569015245156,0.34981458590852904,3,0,Normal,Normal,No
33,Jose Eduardo Martinez Lopez,Marketing,Trade Marketing,Oficinas Administrativas,Part-Time,2854,1439.0,69,1351.0,4362,5713,8.38091517312361,0.5040280210157618,0.30964932385972954,0.5040280210157618,0.4732049036777583,3,0,Normal,Normal,No
34,Rosa Carmen Rojas Diaz,Operaciones (Supply),Maestro Cervecero,Oficinas Administrativas,Part-Time,3285,1275.0,919,806.0,5479,6285,8.608860379942062,0.3880097382836275,0.1470802919708029,0.3880097382836275,0.24528301886792453,0,0,Normal,Normal,No
35,Patricia Lucia Delgado Lopez,Tecnologia (Tech),Analista de Datos,Oficinas Administrativas,Full-Time,2658,1380.0,308,819.0,4346,5165,8.377241230988792,0.5189921022940955,0.18840579710144928,0.5189921022940955,0.3080105302745393,3,0,Normal,Normal,No
36,Diego Jose Rodriguez Lopez,Finanzas,Controller Financiero,Oficina Regional,Part-Time,1396,812.0,334,206.0,2542,2748,7.841099765422119,0.5812455261274159,0.08100668501769563,0.5812455261274159,0.1474588403722262,3,0,Normal,Normal,No
37,Patricia Valentina Sanchez Delgado,People (RRHH),Business Partner,Oficina Regional,Full-Time,1101,997.0,728,1429.0,2826,4255,7.946971357693591,0.9047186932849365,0.5054828440042448,0.9047186932849365,1.2967332123411979,2,0,Normal,Normal,No
38,Diego Jorge Flores Flores,People (RRHH),Reclutador (Trainee),Planta Industrial,Part-Time,3481,1433.0,529,467.0,5443,5910,8.602269363771356,0.4115450890292935,0.08578251285819251,0.4115450890292935,0.1341183228029868,0,0,Normal,Normal,No
39,Jose Rafael Vargas Martinez,Finanzas,Controller Financiero,Oficinas Administrativas,Full-Time,1913,215.0,82,327.0,2210,2537,7.701200180857446,0.11233019853709508,0.14789687924016282,0.11233019853709508,0.17084639498432602,3,0,Normal,Normal,No
40,Rafael Diego Flores Castro,Operaciones (Supply),Maestro Cervecero,Planta Industrial (Matriz),,3361,867.0,204,958.0,4432,5390,8.396831834745054,0.25788221296847114,0.2161064741709903,0.25788221296847114,0.28494943486020224,0,0,Normal,Normal,No
41,Sergio Carlos Martinez Rojas,Comercial / Ventas,Preventista (BEES),Planta Industrial (Matriz),Full-Time,4154,796.0,22,869.0,4972,5841,8.511778558714738,0.19157641395908545,0.17474361552382867,0.19157641395908545,0.20914560770156437,0,0,Normal,Normal,No
42,Elena Patricia Ramirez Delgado,Marketing,Trade Marketing,Planta Industrial (Matriz),Full-Time,2967,1365.0,505,1336.0,4837,6173,8.484256691169973,0.45990566037735847,0.27614716825134356,0.45990566037735847,0.4501347708894879,3,0,Normal,Normal,No
43,Claudia Claudia Rojas Diaz,Logistica,Planificador de Demanda,Oficinas Administrativas,,4595,383.0,303,359.0,5281,5640,8.572060092857077,0.08333333333333333,0.06796667928814842,0.08333333333333333,0.07811140121845082,0,0,Normal,Normal,No
44,Veronica Sofia Suarez Torres,Logistica,Planificador de Demanda,Oficina Regional,Part-Time,4943,507.0,518,323.0,5968,6291,8.69433468816865,0.10254854368932038,0.05411291673647177,0.10254854368932038,0.06533171521035598,0,0,Normal,Normal,No
45,Alberto Ricardo Mendoza Diaz,Logistica,Planificador de Demanda,Oficina Regional,Part-Time,3738,459.0,809,1441.0,5006,6447,8.518592212329946,0.12276009628242845,0.2877970840822848,0.12276009628242845,0.3853971650173843,0,0,Normal,Normal,No
46,Daniela Silvia Garcia Mendoza,Marketing,Brand Manager,Centros de Distribucion,Part-Time,1346,683.0,513,674.0,2542,3216,7.841099765422119,0.5070527097253155,0.26504128981517894,0.5070527097253155,0.5003711952487008,3,0,Normal,Normal,No
47,Laura Rosa Perez Sanchez,People (RRHH),Business Partner,Planta Industrial,Full-Time,2251,412.0,460,872.0,3123,3995,8.046869510959576,0.18294849023090587,0.2791293213828425,0.18294849023090587,0.3872113676731794,3,0,Normal,Normal,No
48,Silvia Andrea Morales Ortega,Tecnologia (Tech),Analista de Datos,Oficinas Administrativas,Full-Time,1495,841.0,311,1355.0,2647,4002,7.881559917056899,0.5621657754010695,0.5117069486404834,0.5621657754010695,0.9057486631016043,1,0,Normal,Normal,No
49,Ana Valentina Lopez Castro,Finanzas,Controller Financiero,Planta Industrial,Part-Time,4911,146.0,348,997.0,5405,6402,8.595264726836392,0.029723127035830618,0.18442471328153903,0.029723127035830618,0.20297231270358307,0,0,Normal,Normal,No
50,Andres Jorge Diaz Perez,Comercial / Ventas,Preventista (BEES),Oficinas Administrativas,Full-Time,3023,276.0,760,216.0,4059,4275,8.308938252595778,0.09126984126984126,0.053201970443349754,0.09126984126984126,0.07142857142857142,0,0,Normal,Normal,No
51,Ana Daniela Morales Gonzalez,People (RRHH),Business Partner,Planta Industrial,Full-Time,2884,205.0,325,833.0,3414,4247,8.13593277200489,0.07105719237435008,0.24392386530014643,0.07105719237435008,0.28873483535528593,0,0,Normal,Normal,No
52,Laura Veronica Delgado Martinez,People (RRHH),Business Partner,Planta Industrial,,3360,962.0,809,889.0,5131,6020,8.543250725735527,0.2862243379946445,0.17322681215900235,0.2862243379946445,0.26450461172270157,0,0,Normal,Normal,No
53,Hugo Jose Rojas Vargas,People (RRHH),Business Partner,Planta Industrial (Matriz),Full-Time,1583,1458.0,185,1269.0,3226,4495,8.079308192051961,0.9204545454545454,0.393244499535172,0.9204545454545454,0.8011363636363636,2,0,Normal,Normal,No
54,Valentina Lucia Vargas Morales,Logistica,Planificador de Demanda,Planta Industrial (Matriz),Full-Time,3502,1419.0,901,683.0,5822,6505,8.66957087183712,0.40508135883528407,0.11729349132749442,0.40508135883528407,0.19497573508421354,0,0,Normal,Normal,No
55,Andres Ricardo Diaz Perez,Tecnologia (Tech),Analista de Datos,Planta Industrial (Matriz),Full-Time,3882,1460.0,601,320.0,5943,6263,8.690137586397595,0.3759979397373165,0.05383580080753701,0.3759979397373165,0.08241050733968582,0,0,Normal,Normal,No
56,Hugo Carlos Ortega Suarez,Marketing,Brand Manager,Planta Industrial (Matriz),Part-Time,817,602.0,749,1079.0,2168,3247,7.682021510826875,0.7359413202933985,0.4974642692485016,0.7359413202933985,1.3190709046454767,1,0,Normal,Normal,No
57,Daniela Natalia Diaz Torres,Marketing,Brand Manager,Oficina Regional,Full-Time,4338,420.0,974,1366.0,5732,7098,8.653994232908383,0.09679649688868402,0.2382696668410954,0.09679649688868402,0.31481908273795806,0,0,Normal,Normal,No
58,Fernando Alberto Rodriguez Gonzalez,Sostenibilidad,Coordinador de Agro,Planta Industrial (Matriz),Part-Time,3954,795.0,774,296.0,4728,5024,8.461469042643875,0.20101137800252844,0.06259251427363079,0.20101137800252844,0.07484197218710494,0,0,Normal,Normal,No
59,Natalia Sofia Martinez Lopez,Operaciones (Supply),Operador de Envasado,Centros de Distribucion,Full-Time,4721,609.0,976,642.0,6306,6948,8.749415406663651,0.1289707750952986,0.10179166006025052,0.1289707750952986,0.13595933926302414,0,0,Normal,Normal,No
60,Ricardo Jose Ramirez Diaz,Logistica,Gestor de Flota,Oficinas Administrativas,Full-Time,2204,106.0,493,1276.0,2803,4079,7.938802248154481,0.048072562358276644,0.4550641940085592,0.048072562358276644,0.5786848072562358,3,0,Normal,Normal,No
61,Victor Andres Mendoza Mendoza,Operaciones (Supply),Maestro Cervecero,Oficina Regional,Full-Time,2961,1417.0,271,849.0,4649,4649,8.444622498581403,0.4783929777177583,0.18258064516129033,0.4783929777177583,0.28663065496286294,0,0,Normal,Normal,No
62,Gabriela Silvia Vargas Herrera,People (RRHH),Business Partner,Oficinas Administrativas,Part-Time,1060,775.0,248,728.0,2083,2811,7.642044402873258,0.7304429783223374,0.3493282149712092,0.7304429783223374,0.6861451460885957,2,0,Normal,Normal,No
63,Monica Maria Lopez Morales,Marketing,Trade Marketing,Oficina Regional,Part-Time,2687,1363.0,164,1230.0,4214,5444,8.346404870435956,0.5070684523809523,0.2918149466192171,0.5070684523809523,0.4575892857142857,3,0,Normal,Normal,No
64,Alberto Andres Rojas Suarez,Logistica,Gestor de Flota,Centros de Distribucion,Full-Time,866,1262.0,35,750.0,2163,2913,7.679713639966372,1.455594002306805,0.3465804066543438,1.455594002306805,0.8650519031141869,2,0,Anomalía,Normal,No
65,Gabriela Natalia Sanchez Castro,Comercial / Ventas,Key Account Manager,Oficinas Administrativas,,3027,876.0,642,709.0,4545,5254,8.422003004412488,0.2892998678996037,0.1559612846458425,0.2892998678996037,0.23414795244385733,0,0,Normal,Normal,No
66,Andrea Carmen Diaz Diaz,Tecnologia (Tech),Analista de Datos,Centros de Distribucion,Part-Time,1375,735.0,227,1208.0,2337,3545,7.757051142032013,0.534156976744186,0.5166809238665526,0.534156976744186,0.877906976744186,1,0,Normal,Normal,No
67,Hugo Carlos Lopez Sanchez,Finanzas,Controller Financiero,Centros de Distribucion,Full-Time,3137,553.0,286,1417.0,3976,5393,8.28828304520769,0.17622689611217335,0.3562987176263515,0.17622689611217335,0.4515615041427661,3,0,Normal,Normal,No
68,Mario Julio Torres Mendoza,People (RRHH),Reclutador (Trainee),Centros de Distribucion,Part-Time,4050,547.0,51,708.0,4648,5356,8.444407421690585,0.13502838805233275,0.15229081522908153,0.13502838805233275,0.17477166131819305,0,0,Normal,Normal,No
69,Gabriela Lucia Suarez Lopez,Comercial / Ventas,Key Account Manager,Planta Industrial,Full-Time,2570,851.0,123,995.0,3544,4539,8.173293438966228,0.3309996110462855,0.28067700987306066,0.3309996110462855,0.38700894593543367,3,0,Normal,Normal,No
70,Jorge Pedro Perez Lopez,Operaciones (Supply),Analista de Calidad,Planta Industrial,Part-Time,2249,740.0,219,1444.0,3208,4652,8.073714641109857,0.3288888888888889,0.44998441882206297,0.3288888888888889,0.6417777777777778,3,0,Normal,Normal,No
71,Lucia Valentina Martinez Delgado,Operaciones (Supply),Maestro Cervecero,Planta Industrial,Full-Time,1646,941.0,335,732.0,2922,3654,7.980365765111246,0.5713418336369156,0.25042764283270613,0.5713418336369156,0.4444444444444444,3,0,Normal,Normal,No
72,Elena Veronica Sanchez Rojas,Marketing,Trade Marketing,Oficina Regional,Full-Time,3142,337.0,618,1084.0,4097,5181,8.318254328798846,0.10722239898186446,0.2645192776964373,0.10722239898186446,0.3448934139357302,0,0,Normal,Normal,No
73,Fernando Julio Garcia Perez,Logistica,Planificador de Demanda,Planta Industrial,,1051,1260.0,537,572.0,2848,3420,7.954723334497908,1.1977186311787071,0.20077220077220076,1.1977186311787071,0.5437262357414449,2,0,Normal,Normal,No
74,Ricardo Hugo Ramirez Sanchez,Marketing,Trade Marketing,Centros de Distribucion,,4062,1110.0,829,740.0,6001,6741,8.699848026000312,0.27319714496677333,0.12329223592135954,0.27319714496677333,0.18213142997784887,0,0,Normal,Normal,No
75,Mario Pedro Vargas Torres,People (RRHH),Reclutador (Trainee),Planta Industrial,Part-Time,1486,1238.0,618,1261.0,3342,4603,8.114623886420098,0.8325487558843309,0.37720610230332036,0.8325487558843309,0.8480161398789509,2,0,Normal,Normal,No
76,Sofia Laura Ramirez Diaz,Comercial / Ventas,Preventista (BEES),Centros de Distribucion,Part-Time,1685,1291.0,905,849.0,3881,3881,8.264105763728956,0.765717674970344,0.2187017001545595,0.765717674970344,0.50355871886121,3,0,Normal,Normal,No
77,Silvia Ana Delgado Ortega,Logistica,Gestor de Flota,Planta Industrial,Part-Time,4102,578.0,632,769.0,5312,6081,8.577911926450943,0.14087253229344382,0.14473931865236214,0.14087253229344382,0.1874238362174019,0,0,Normal,Normal,No
78,Camila Paula Herrera Ramirez,Comercial / Ventas,Preventista (BEES),Planta Industrial,Part-Time,1337,1047.0,707,550.0,3091,3641,8.036573409707312,0.7825112107623319,0.17787839586028462,0.7825112107623319,0.4110612855007474,3,0,Normal,Normal,No
79,Miguel Alberto Martinez Ortega,Comercial / Ventas,Key Account Manager,Planta Industrial (Matriz),Part-Time,3533,1205.0,758,957.0,5496,6453,8.61195776786066,0.3409734012450481,0.17409496088775697,0.3409734012450481,0.2707979626485569,0,0,Normal,Normal,No
80,Camila Veronica Ortega Flores,Marketing,Trade Marketing,Oficina Regional,Full-Time,872,786.0,521,611.0,2179,2790,7.687080155783135,0.9003436426116839,0.28027522935779814,0.9003436426116839,0.699885452462772,2,0,Normal,Normal,No
81,Alberto Alberto Garcia Lopez,Marketing,Trade Marketing,Planta Industrial (Matriz),Full-Time,4297,338.0,219,732.0,4854,5586,8.487764380725425,0.07864122847836202,0.15077239958805355,0.07864122847836202,0.1703117729176361,0,0,Normal,Normal,No
82,Valentina Carmen Gonzalez Rodriguez,Marketing,Trade Marketing,Planta Industrial,,882,697.0,466,1158.0,2045,3203,7.6236419465115715,0.7893544733861835,0.5659824046920822,0.7893544733861835,1.3114382785956964,1,0,Normal,Normal,No
83,Luis Alberto Garcia Flores,Marketing,Trade Marketing,Planta Industrial,Part-Time,3063,1466.0,405,1185.0,4934,6119,8.504107951867582,0.47845953002610964,0.24012158054711247,0.47845953002610964,0.38674934725848564,3,0,Normal,Normal,No
84,Mario Julio Vargas Vargas,Comercial / Ventas,Key Account Manager,Planta Industrial,Part-Time,2434,561.0,384,1291.0,3379,4670,8.125630988477065,0.23039014373716632,0.3819526627218935,0.23039014373716632,0.5301848049281315,3,0,Normal,Normal,No
85,Ricardo Sergio Flores Gonzalez,People (RRHH),Reclutador (Trainee),Oficinas Administrativas,Part-Time,2670,1258.0,638,1447.0,4566,6013,8.426611813185,0.47098464994384126,0.3168381869936501,0.47098464994384126,0.5417446649195058,3,0,Normal,Normal,No
86,Juan Julio Rojas Suarez,Operaciones (Supply),Operador de Envasado,Oficinas Administrativas,,4637,1227.0,536,1241.0,6400,7641,8.764209507142004,0.2645536869340233,0.19387595688173723,0.2645536869340233,0.2675722294092281,0,0,Normal,Normal,No
87,Diego Luis Lopez Delgado,Operaciones (Supply),Maestro Cervecero,Centros de Distribucion,Full-Time,4627,459.0,342,1481.0,5428,6909,8.599510233905452,0.09917891097666379,0.27279425308528277,0.09917891097666379,0.3200086430423509,0,0,Normal,Normal,No
88,Laura Ana Castro Flores,Tecnologia (Tech),Analista de Datos,Centros de Distribucion,,816,674.0,747,616.0,2237,2853,7.71333788887187,0.824969400244798,0.2752457551385165,0.824969400244798,0.7539779681762546,2,0,Normal,Normal,No
89,Gabriela Carmen Garcia Suarez,People (RRHH),Reclutador (Trainee),Oficinas Administrativas,Full-Time,909,504.0,213,700.0,1626,2326,7.394493107219038,0.5538461538461539,0.430239704978488,0.5538461538461539,0.7692307692307693,1,0,Normal,Normal,No
90,Pedro Miguel Vargas Suarez,Tecnologia (Tech),Analista de Datos,Planta Industrial (Matriz),Part-Time,4326,543.0,259,1223.0,5128,6351,8.542665987389269,0.12549110238040212,0.23844804055371419,0.12549110238040212,0.2826438641090825,0,0,Normal,Normal,No
91,Ana Maria Delgado Diaz,Comercial / Ventas,Key Account Manager,Oficina Regional,Part-Time,4477,546.0,943,1273.0,5966,7239,8.693999567522082,0.12192943278249219,0.21334003686944863,0.12192943278249219,0.28427869584636,0,0,Normal,Normal,No
92,Elena Laura Castro Rojas,Operaciones (Supply),Operador de Envasado,Planta Industrial,Part-Time,3208,978.0,580,886.0,4766,5652,8.469472455204826,0.30476784044873795,0.18586112859240614,0.30476784044873795,0.27609847304456214,0,0,Normal,Normal,No
93,Mario Miguel Rojas Garcia,Marketing,Brand Manager,Planta Industrial,,2019,1160.0,638,264.0,3817,4081,8.247482004285693,0.5742574257425742,0.06914614981665794,0.5742574257425742,0.1306930693069307,3,0,Normal,Normal,No
94,Veronica Ana Vargas Sanchez,Tecnologia (Tech),Analista de Datos,Oficinas Administrativas,Part-Time,2619,1075.0,977,377.0,4671,5048,8.449342524508063,0.41030534351145037,0.08069349315068493,0.41030534351145037,0.14389312977099236,0,0,Normal,Normal,No
95,Julio Jorge Rodriguez Diaz,Logistica,Gestor de Flota,Oficina Regional,Full-Time,3810,681.0,175,767.0,4666,5433,8.448271745949816,0.17869325636315928,0.16434540389972144,0.17869325636315928,0.2012595119391236,0,0,Normal,Normal,No
96,Veronica Silvia Flores Morales,Operaciones (Supply),Operador de Envasado,Oficina Regional,Full-Time,3443,125.0,62,419.0,3630,4049,8.197263371414335,0.03629500580720093,0.11539520793169926,0.03629500580720093,0.12166085946573751,0,0,Normal,Normal,No
97,Rafael Eduardo Lopez Diaz,Operaciones (Supply),Maestro Cervecero,Oficina Regional,Part-Time,3145,967.0,484,865.0,4596,5461,8.433159195806228,0.3073744437380801,0.1881661953447901,0.3073744437380801,0.27495232040686585,0,0,Normal,Normal,No
98,Diego Hugo Rodriguez Rodriguez,People (RRHH),Reclutador (Trainee),Oficinas Administrativas,Full-Time,1679,1296.0,422,1060.0,3397,4457,8.130942302231878,0.7714285714285715,0.3119482048263684,0.7714285714285715,0.6309523809523809,2,0,Normal,Normal,No
99,Andrea Carmen Perez Martinez,Logistica,Gestor de Flota,Planta Industrial (Matriz),Full-Time,4564,788.0,478,1071.0,5830,6901,8.670943791222156,0.17261774370208105,0.1836734693877551,0.17261774370208105,0.23461117196056955,0,0,Normal,Normal,No
100,Luis Hugo Mendoza Flores,Comercial / Ventas,Key Account Manager,Oficina Regional,Part-Time,4793,1089.0,75,1096.0,5957,7053,8.692490133273228,0.22715894868585731,0.18395434709634106,0.22715894868585731,0.22861910721735504,0,0,Normal,Normal,No
101,Sergio Rafael Lopez Rojas,Comercial / Ventas,Key Account Manager,Planta Industrial,Part-Time,3401,1305.0,3,262.0,4709,4971,8.457443187010464,0.3835978835978836,0.05562632696390658,0.3835978835978836,0.0770135214579659,0,0,Normal,Normal,No
102,Juan Sergio Suarez Castro,People (RRHH),Reclutador (Trainee),Planta Industrial (Matriz),Full-Time,1531,1028.0,353,631.0,2912,3543,7.976938756959434,0.6710182767624021,0.21661517336079644,0.6710182767624021,0.4118798955613577,3,0,Normal,Normal,No
103,Rafael Sergio Perez Rojas,Comercial / Ventas,Preventista (BEES),Planta Industrial (Matriz),,1866,754.0,952,605.0,3572,4177,8.181160858023409,0.4038564542046063,0.16932549678141617,0.4038564542046063,0.32404927691483665,3,0,Normal,Normal,No
104,Sergio Fernando Lopez Lopez,People (RRHH),Business Partner,Planta Industrial (Matriz),Full-Time,4988,560.0,456,265.0,6004,6269,8.700347734514084,0.11224694327520546,0.04412989175686927,0.11224694327520546,0.0531168570855883,0,0,Normal,Normal,No
105,Laura Rosa Sanchez Perez,Operaciones (Supply),Analista de Calidad,Planta Industrial,Full-Time,3660,917.0,17,1390.0,4594,5984,8.432724034789787,0.25047801147227533,0.3025027203482046,0.25047801147227533,0.37967768369298005,3,0,Normal,Normal,No
106,Sofia Patricia Garcia Perez,Operaciones (Supply),Analista de Calidad,Oficinas Administrativas,Part-Time,2161,491.0,655,849.0,3307,3307,8.104099056143582,0.22710453283996299,0.25665054413542926,0.22710453283996299,0.3926919518963922,3,0,Normal,Normal,No
