ID,NombreEmpleado,Departamento,Cargo,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,Año,Notas,Oficina,TipoContrato
33,Jose Eduardo Martinez Lopez,Marketing,Trade Marketing,2854,1439,69,1351,4362,5713,2025,,Oficinas Administrativas,Part-Time
34,Rosa Carmen Rojas Diaz,Operaciones (Supply),Maestro Cervecero,3285,1275,919,806,5479,6285,2025,,Oficinas Administrativas,Part-Time
35,Patricia Lucia Delgado Lopez,Tecnologia (Tech),Analista de Datos,2658,1380,308,819,4346,5165,2025,,Oficinas Administrativas,Full-Time
36,Diego Jose Rodriguez Lopez,Finanzas,Controller Financiero,1396,812,334,206,2542,2748,2025,,Oficina Regional,Part-Time
37,Patricia Valentina Sanchez Delgado,People (RRHH),Business Partner,1101,997,728,1429,2826,4255,2025,,Oficina Regional,Full-Time
38,Diego Jorge Flores Flores,People (RRHH),Reclutador (Trainee),3481,1433,529,467,5443,5910,2025,,Planta Industrial,Part-Time
39,Jose Rafael Vargas Martinez,Finanzas,Controller Financiero,1913,215,82,327,2210,2537,2025,,Oficinas Administrativas,Full-Time
40,Rafael Diego Flores Castro,Operaciones (Supply),Maestro Cervecero,3361,867,204,958,4432,5390,2025,,Planta Industrial (Matriz),
41,Sergio Carlos Martinez Rojas,Comercial / Ventas,Preventista (BEES),4154,796,22,869,4972,5841,2025,,Planta Industrial (Matriz),Full-Time
42,Elena Patricia Ramirez Delgado,Marketing,Trade Marketing,2967,1365,505,1336,4837,6173,2025,,Planta Industrial (Matriz),Full-Time
43,Claudia Claudia Rojas Diaz,Logistica,Planificador de Demanda,4595,383,303,359,5281,5640,2025,,Oficinas Administrativas,
44,Veronica Sofia Suarez Torres,Logistica,Planificador de Demanda,4943,507,518,323,5968,6291,2025,,Oficina Regional,Part-Time
45,Alberto Ricardo Mendoza Diaz,Logistica,Planificador de Demanda,3738,459,809,1441,5006,6447,2025,,Oficina Regional,Part-Time
46,Daniela Silvia Garcia Mendoza,Marketing,Brand Manager,1346,683,513,674,2542,3216,2025,,Centros de Distribucion,Part-Time
47,Laura Rosa Perez Sanchez,People (RRHH),Business Partner,2251,412,460,872,3123,3995,2025,,Planta Industrial,Full-Time
48,Silvia Andrea Morales Ortega,Tecnologia (Tech),Analista de Datos,1495,841,311,1355,2647,4002,2025,,Oficinas Administrativas,Full-Time
49,Ana Valentina Lopez Castro,Finanzas,Controller Financiero,4911,146,348,997,5405,6402,2025,,Planta Industrial,Part-Time
50,Andres Jorge Diaz Perez,Comercial / Ventas,Preventista (BEES),3023,276,760,216,4059,4275,2025,,Oficinas Administrativas,Full-Time
51,Ana Daniela Morales Gonzalez,People (RRHH),Business Partner,2884,205,325,833,3414,4247,2025,,Planta Industrial,Full-Time
52,Laura Veronica Delgado Martinez,People (RRHH),Business Partner,3360,962,809,889,5131,6020,2025,,Planta Industrial,
53,Hugo Jose Rojas Vargas,People (RRHH),Business Partner,1583,1458,185,1269,3226,4495,2025,,Planta Industrial (Matriz),Full-Time
54,Valentina Lucia Vargas Morales,Logistica,Planificador de Demanda,3502,1419,901,683,5822,6505,2025,,Planta Industrial (Matriz),Full-Time
55,Andres Ricardo Diaz Perez,Tecnologia (Tech),Analista de Datos,3882,1460,601,320,5943,6263,2025,,Planta Industrial (Matriz),Full-Time
56,Hugo Carlos Ortega Suarez,Marketing,Brand Manager,817,602,749,1079,2168,3247,2025,,Planta Industrial (Matriz),Part-Time
57,Daniela Natalia Diaz Torres,Marketing,Brand Manager,4338,420,974,1366,5732,7098,2025,,Oficina Regional,Full-Time
58,Fernando Alberto Rodriguez Gonzalez,Sostenibilidad,Coordinador de Agro,3954,,774,296,4728,5024,2025,,Planta Industrial (Matriz),Part-Time
59,Natalia Sofia Martinez Lopez,Operaciones (Supply),Operador de Envasado,4721,609,976,642,6306,6948,2025,,Centros de Distribucion,Full-Time
60,Ricardo Jose Ramirez Diaz,Logistica,Gestor de Flota,2204,106,493,1276,2803,4079,2025,,Oficinas Administrativas,Full-Time
61,Victor Andres Mendoza Mendoza,Operaciones (Supply),Maestro Cervecero,2961,1417,271,,4649,4649,2025,,Oficina Regional,Full-Time
62,Gabriela Silvia Vargas Herrera,People (RRHH),Business Partner,1060,775,248,728,2083,2811,2025,,Oficinas Administrativas,Part-Time
63,Monica Maria Lopez Morales,Marketing,Trade Marketing,2687,1363,164,1230,4214,5444,2025,,Oficina Regional,Part-Time
64,Alberto Andres Rojas Suarez,Logistica,Gestor de Flota,866,1262,35,750,2163,2913,2025,,Centros de Distribucion,Full-Time
65,Gabriela Natalia Sanchez Castro,Comercial / Ventas,Key Account Manager,3027,876,642,709,4545,5254,2025,,Oficinas Administrativas,
66,Andrea Carmen Diaz Diaz,Tecnologia (Tech),Analista de Datos,1375,735,227,1208,2337,3545,2025,,Centros de Distribucion,Part-Time
67,Hugo Carlos Lopez Sanchez,Finanzas,Controller Financiero,3137,553,286,1417,3976,5393,2025,,Centros de Distribucion,Full-Time
68,Mario Julio Torres Mendoza,People (RRHH),Reclutador (Trainee),4050,547,51,708,4648,5356,2025,,Centros de Distribucion,Part-Time
69,Gabriela Lucia Suarez Lopez,Comercial / Ventas,Key Account Manager,2570,851,123,995,3544,4539,2025,,Planta Industrial,Full-Time
70,Jorge Pedro Perez Lopez,Operaciones (Supply),Analista de Calidad,2249,740,219,1444,3208,4652,2025,,Planta Industrial,Part-Time
71,Lucia Valentina Martinez Delgado,Operaciones (Supply),Maestro Cervecero,1646,941,335,732,2922,3654,2025,,Planta Industrial,Full-Time
72,Elena Veronica Sanchez Rojas,Marketing,Trade Marketing,3142,337,618,1084,4097,5181,2025,,Oficina Regional,Full-Time
73,Fernando Julio Garcia Perez,Logistica,Planificador de Demanda,1051,1260,537,572,2848,3420,2025,,Planta Industrial,
74,Ricardo Hugo Ramirez Sanchez,Marketing,Trade Marketing,4062,1110,829,740,6001,6741,2025,,Centros de Distribucion,
75,Mario Pedro Vargas Torres,People (RRHH),Reclutador (Trainee),1486,1238,618,1261,3342,4603,2025,,Planta Industrial,Part-Time
76,Sofia Laura Ramirez Diaz,Comercial / Ventas,Preventista (BEES),1685,1291,905,,3881,3881,2025,,Centros de Distribucion,Part-Time
77,Silvia Ana Delgado Ortega,Logistica,Gestor de Flota,4102,578,632,769,5312,6081,2025,,Planta Industrial,Part-Time
78,Camila Paula Herrera Ramirez,Comercial / Ventas,Preventista (BEES),1337,1047,707,550,3091,3641,2025,,Planta Industrial,Part-Time
79,Miguel Alberto Martinez Ortega,Comercial / Ventas,Key Account Manager,3533,1205,758,957,5496,6453,2025,,Planta Industrial (Matriz),Part-Time
80,Camila Veronica Ortega Flores,Marketing,Trade Marketing,872,786,521,611,2179,2790,2025,,Oficina Regional,Full-Time
81,Alberto Alberto Garcia Lopez,Marketing,Trade Marketing,4297,338,219,732,4854,5586,2025,,Planta Industrial (Matriz),Full-Time
82,Valentina Carmen Gonzalez Rodriguez,Marketing,Trade Marketing,882,697,466,1158,2045,3203,2025,,Planta Industrial,
83,Luis Alberto Garcia Flores,Marketing,Trade Marketing,3063,1466,405,1185,4934,6119,2025,,Planta Industrial,Part-Time
84,Mario Julio Vargas Vargas,Comercial / Ventas,Key Account Manager,2434,561,384,1291,3379,4670,2025,,Planta Industrial,Part-Time
85,Ricardo Sergio Flores Gonzalez,People (RRHH),Reclutador (Trainee),2670,1258,638,1447,4566,6013,2025,,Oficinas Administrativas,Part-Time
86,Juan Julio Rojas Suarez,Operaciones (Supply),Operador de Envasado,4637,1227,536,1241,6400,7641,2025,,Oficinas Administrativas,
87,Diego Luis Lopez Delgado,Operaciones (Supply),Maestro Cervecero,4627,459,342,1481,5428,6909,2025,,Centros de Distribucion,Full-Time
88,Laura Ana Castro Flores,Tecnologia (Tech),Analista de Datos,816,674,747,616,2237,2853,2025,,Centros de Distribucion,
89,Gabriela Carmen Garcia Suarez,People (RRHH),Reclutador (Trainee),909,504,213,700,1626,2326,2025,,Oficinas Administrativas,Full-Time
90,Pedro Miguel Vargas Suarez,Tecnologia (Tech),Analista de Datos,4326,543,259,1223,5128,6351,2025,,Planta Industrial (Matriz),Part-Time
91,Ana Maria Delgado Diaz,Comercial / Ventas,Key Account Manager,4477,546,943,1273,5966,7239,2025,,Oficina Regional,Part-Time
92,Elena Laura Castro Rojas,Operaciones (Supply),Operador de Envasado,3208,978,580,886,4766,5652,2025,,Planta Industrial,Part-Time
93,Mario Miguel Rojas Garcia,Marketing,Brand Manager,2019,1160,638,264,3817,4081,2025,,Planta Industrial,
94,Veronica Ana Vargas Sanchez,Tecnologia (Tech),Analista de Datos,2619,1075,977,377,4671,5048,2025,,Oficinas Administrativas,Part-Time
95,Julio Jorge Rodriguez Diaz,Logistica,Gestor de Flota,3810,681,175,767,4666,5433,2025,,Oficina Regional,Full-Time
96,Veronica Silvia Flores Morales,Operaciones (Supply),Operador de Envasado,3443,125,62,419,3630,4049,2025,,Oficina Regional,Full-Time
97,Rafael Eduardo Lopez Diaz,Operaciones (Supply),Maestro Cervecero,3145,967,484,865,4596,5461,2025,,Oficina Regional,Part-Time
98,Diego Hugo Rodriguez Rodriguez,People (RRHH),Reclutador (Trainee),1679,1296,422,1060,3397,4457,2025,,Oficinas Administrativas,Full-Time
99,Andrea Carmen Perez Martinez,Logistica,Gestor de Flota,4564,788,478,1071,5830,6901,2025,,Planta Industrial (Matriz),Full-Time
100,Luis Hugo Mendoza Flores,Comercial / Ventas,Key Account Manager,4793,1089,75,1096,5957,7053,2025,,Oficina Regional,Part-Time
101,Sergio Rafael Lopez Rojas,Comercial / Ventas,Key Account Manager,3401,1305,3,262,4709,4971,2025,,Planta Industrial,Part-Time
102,Juan Sergio Suarez Castro,People (RRHH),Reclutador (Trainee),1531,1028,353,631,2912,3543,2025,,Planta Industrial (Matriz),Full-Time
103,Rafael Sergio Perez Rojas,Comercial / Ventas,Preventista (BEES),1866,754,952,605,3572,4177,2025,,Planta Industrial (Matriz),
104,Sergio Fernando Lopez Lopez,People (RRHH),Business Partner,4988,560,456,265,6004,6269,2025,,Planta Industrial (Matriz),Full-Time
105,Laura Rosa Sanchez Perez,Operaciones (Supply),Analista de Calidad,3660,917,17,1390,4594,5984,2025,,Planta Industrial,Full-Time
106,Sofia Patricia Garcia Perez,Operaciones (Supply),Analista de Calidad,2161,491,655,,3307,3307,2025,,Oficinas Administrativas,Part-Time
107,Raul Miguel Ramirez Martinez,Operaciones (Supply),Operador de Envasado,3345,1201,638,1320,5184,6504,2025,,Oficinas Administrativas,Full-Time
108,Miguel Mario Ramirez Martinez,Operaciones (Supply),Operador de Envasado,1120,931,789,1040,2840,3880,2025,,Oficinas Administrativas,Part-Time
109,Juan Miguel Rojas Rojas,Tecnologia (Tech),Analista de Datos,1202,478,86,1114,1766,2880,2025,,Centros de Distribucion,
110,Carlos Julio Castro Lopez,Logistica,Gestor de Flota,2913,1156,736,925,4805,5730,2025,,Oficinas Administrativas,
111,Pedro Sergio Delgado Lopez,Operaciones (Supply),Operador de Envasado,1611,648,81,1170,2340,3510,2025,,Centros de Distribucion,Full-Time
112,Victor Jorge Rodriguez Diaz,Tecnologia (Tech),Analista de Datos,1295,1050,485,1464,2830,4294,2025,,Planta Industrial,Full-Time
113,Maria Rosa Gonzalez Sanchez,Marketing,Trade Marketing,1041,866,238,411,2145,2556,2025,,Oficina Regional,Full-Time
114,Jorge Alberto Diaz Torres,Sostenibilidad,Coordinador de Agro,1511,726,873,682,3110,3792,2025,,Centros de Distribucion,
115,Luis Juan Garcia Rojas,Operaciones (Supply),Operador de Envasado,4998,736,620,466,6354,6820,2025,,Oficinas Administrativas,Full-Time
116,Carmen Rosa Mendoza Martinez,Sostenibilidad,Coordinador de Agro,3611,1407,321,1089,5339,6428,2025,,Planta Industrial (Matriz),Full-Time
117,Paula Lucia Sanchez Sanchez,People (RRHH),Business Partner,4853,344,310,1039,5507,6546,2025,,Oficina Regional,Part-Time
118,Jose Luis Vargas Morales,Finanzas,Controller Financiero,2503,751,584,1341,3838,5179,2025,,Planta Industrial,Part-Time
119,Carmen Ana Torres Delgado,Operaciones (Supply),Operador de Envasado,4873,865,523,1105,6261,7366,2025,,Planta Industrial,Part-Time
120,Ricardo Victor Flores Torres,Logistica,Planificador de Demanda,1140,1095,808,683,3043,3726,2025,,Centros de Distribucion,Full-Time
121,Rafael Miguel Lopez Rojas,Operaciones (Supply),Analista de Calidad,3608,1470,531,1080,5609,6689,2025,,Planta Industrial (Matriz),Part-Time
122,Valentina Rosa Martinez Ortega,Logistica,Gestor de Flota,1197,611,775,524,2583,3107,2025,,Centros de Distribucion,Full-Time
123,Rosa Daniela Martinez Perez,Sostenibilidad,Coordinador de Agro,4832,1331,913,207,7076,7283,2025,,Oficina Regional,Part-Time
124,Luis Mario Suarez Garcia,Operaciones (Supply),Analista de Calidad,3296,710,999,923,5005,5928,2025,,Oficina Regional,Part-Time
125,Monica Sofia Lopez Rodriguez,Sostenibilidad,Coordinador de Agro,2143,442,13,790,2598,3388,2025,,Oficina Regional,Full-Time
126,Eduardo Miguel Mendoza Morales,Marketing,Trade Marketing,3479,835,306,1120,4620,5740,2025,,Oficinas Administrativas,Full-Time
127,Sofia Camila Herrera Rojas,People (RRHH),Business Partner,4564,642,426,945,5632,6577,2025,,Oficina Regional,Part-Time
128,Laura Veronica Gonzalez Suarez,Sostenibilidad,Coordinador de Agro,3148,1240,744,717,5132,5849,2025,,Planta Industrial (Matriz),Full-Time
129,Rosa Lucia Lopez Herrera,Operaciones (Supply),Maestro Cervecero,4588,1130,768,794,6486,7280,2025,,Planta Industrial (Matriz),Part-Time
130,Raul Jose Flores Garcia,Comercial / Ventas,Key Account Manager,1079,392,140,455,1611,2066,2025,,Oficina Regional,Full-Time
131,Pedro Hugo Castro Mendoza,Operaciones (Supply),Analista de Calidad,3980,522,708,551,5210,5761,2025,,Planta Industrial,Full-Time
132,Luis Luis Morales Morales,Comercial / Ventas,Key Account Manager,4241,299,375,326,4915,5241,2025,,Centros de Distribucion,Full-Time
133,Jorge Eduardo Sanchez Flores,People (RRHH),Business Partner,1671,615,261,490,2547,3037,2025,,Planta Industrial (Matriz),Full-Time
134,Diego Carlos Rodriguez Ortega,People (RRHH),Reclutador (Trainee),4184,123,277,,4584,4584,2025,,Oficina Regional,Part-Time
135,Maria Gabriela Suarez Morales,Sostenibilidad,Coordinador de Agro,3580,718,774,1442,5072,6514,2025,,Planta Industrial,Part-Time
136,Patricia Claudia Mendoza Diaz,People (RRHH),Reclutador (Trainee),3111,931,643,610,4685,5295,2025,,Planta Industrial,
137,Daniela Camila Diaz Flores,People (RRHH),Business Partner,4659,1320,521,774,6500,7274,2025,,Planta Industrial (Matriz),
138,Paula Paula Gonzalez Perez,People (RRHH),Business Partner,3248,249,347,836,3844,4680,2025,,Planta Industrial (Matriz),Full-Time
139,Gabriela Camila Sanchez Lopez,Operaciones (Supply),Operador de Envasado,4993,735,162,264,5890,6154,2025,,Oficinas Administrativas,Part-Time
140,Ricardo Juan Castro Martinez,Operaciones (Supply),Operador de Envasado,3465,760,269,,4494,4494,2025,,Oficina Regional,Full-Time
141,Claudia Camila Castro Sanchez,Tecnologia (Tech),Analista de Datos,1901,795,298,,2994,2994,2025,,Planta Industrial,Part-Time
142,Rosa Camila Herrera Castro,Operaciones (Supply),Maestro Cervecero,3753,268,261,1264,4282,5546,2025,,Oficinas Administrativas,Full-Time
143,Camila Daniela Diaz Torres,Marketing,Trade Marketing,1236,905,471,472,2612,3084,2025,,Oficinas Administrativas,Full-Time
144,Andrea Camila Rodriguez Diaz,Comercial / Ventas,Preventista (BEES),4275,165,678,1194,5118,6312,2025,,Oficinas Administrativas,Part-Time
145,Raul Raul Torres Perez,Marketing,Brand Manager,4091,294,162,1460,4547,6007,2025,,Oficina Regional,Part-Time
146,Paula Veronica Perez Vargas,Operaciones (Supply),Maestro Cervecero,2710,897,279,977,3886,4863,2025,,Oficinas Administrativas,
147,Ricardo Raul Morales Vargas,Tecnologia (Tech),Analista de Datos,1299,234,774,1112,2307,3419,2025,,Planta Industrial (Matriz),
148,Laura Maria Ramirez Vargas,People (RRHH),Business Partner,3650,619,561,772,4830,5602,2025,,Planta Industrial (Matriz),Part-Time
149,Gabriela Patricia Lopez Vargas,Finanzas,Controller Financiero,3000,348,448,,3796,3796,2025,,Planta Industrial (Matriz),
150,Eduardo Ricardo Lopez Ortega,People (RRHH),Business Partner,1541,337,825,1065,2703,3768,2025,,Planta Industrial,Full-Time
151,Elena Claudia Delgado Castro,People (RRHH),Reclutador (Trainee),4415,1037,653,321,6105,6426,2025,,Planta Industrial,Part-Time
152,Victor Eduardo Perez Sanchez,People (RRHH),Reclutador (Trainee),1098,1498,981,845,3577,4422,2025,,Oficina Regional,Part-Time
153,Monica Valentina Ramirez Martinez,Logistica,Planificador de Demanda,3339,502,28,622,3869,4491,2025,,Oficina Regional,
154,Juan Pedro Gonzalez Herrera,Finanzas,Controller Financiero,3349,355,459,941,4163,5104,2025,,Oficina Regional,Full-Time
155,Rosa Valentina Castro Castro,Comercial / Ventas,Preventista (BEES),3004,343,10,709,3357,4066,2025,,Planta Industrial,
156,Andrea Lucia Garcia Torres,People (RRHH),Reclutador (Trainee),1988,742,4,1208,2734,3942,2025,,Planta Industrial,Part-Time
157,Victor Jose Castro Delgado,Operaciones (Supply),Operador de Envasado,1139,1150,55,1433,2344,3777,2025,,Oficina Regional,Full-Time
158,Silvia Patricia Rodriguez Martinez,Operaciones (Supply),Analista de Calidad,1776,1266,608,952,3650,4602,2025,,Oficina Regional,Part-Time
159,Juan Fernando Herrera Rojas,People (RRHH),Business Partner,1331,856,118,489,2305,2794,2025,,Oficinas Administrativas,Full-Time
160,Pedro Carlos Sanchez Vargas,Operaciones (Supply),Analista de Calidad,2924,1045,650,874,4619,5493,2025,,Oficinas Administrativas,Part-Time
161,Mario Hugo Rodriguez Perez,Comercial / Ventas,Preventista (BEES),3881,1452,814,1326,6147,7473,2025,,Planta Industrial,
162,Silvia Sofia Rodriguez Rojas,Operaciones (Supply),Operador de Envasado,1563,469,569,219,2601,2820,2025,,Centros de Distribucion,Part-Time
163,Sergio Juan Rodriguez Torres,Comercial / Ventas,Key Account Manager,4611,1150,112,909,5873,6782,2025,,Oficina Regional,Full-Time
164,Natalia Rosa Morales Perez,Logistica,Planificador de Demanda,2485,847,850,870,4182,5052,2025,,Centros de Distribucion,Full-Time
165,Julio Rafael Diaz Ramirez,Finanzas,Controller Financiero,1309,560,878,847,2747,3594,2025,,Centros de Distribucion,Part-Time
166,Natalia Veronica Mendoza Morales,Logistica,Planificador de Demanda,3846,794,723,437,5363,5800,2025,,Oficinas Administrativas,Full-Time
167,Veronica Carmen Diaz Ramirez,Finanzas,Controller Financiero,2600,1275,269,658,4144,4802,2025,,Centros de Distribucion,Full-Time
168,Patricia Lucia Mendoza Ramirez,Operaciones (Supply),Analista de Calidad,4251,441,432,1156,5124,6280,2025,,Planta Industrial,Part-Time
169,Andrea Sofia Martinez Mendoza,Marketing,Trade Marketing,2698,1278,152,749,4128,4877,2025,,Oficina Regional,Full-Time
170,Victor Eduardo Castro Vargas,Marketing,Brand Manager,4262,532,81,256,4875,5131,2025,,Oficina Regional,Full-Time
171,Elena Carmen Diaz Garcia,Logistica,Planificador de Demanda,2522,599,810,1047,3931,4978,2025,,Oficinas Administrativas,Part-Time
172,Rafael Fernando Morales Ortega,Marketing,Trade Marketing,2880,288,875,494,4043,4537,2025,,Oficinas Administrativas,Part-Time
173,Patricia Maria Rodriguez Delgado,Comercial / Ventas,Preventista (BEES),3206,748,648,1419,4602,6021,2025,,Planta Industrial,Part-Time
174,Jorge Raul Sanchez Castro,Comercial / Ventas,Key Account Manager,3194,938,502,229,4634,4863,2025,,Oficinas Administrativas,Full-Time
175,Silvia Lucia Ortega Castro,Logistica,Gestor de Flota,1915,1317,937,,4169,4169,2025,,Planta Industrial,Part-Time
176,Alberto Julio Morales Martinez,Comercial / Ventas,Preventista (BEES),3545,1046,111,849,4702,5551,2025,,Planta Industrial (Matriz),Part-Time
177,Julio Carlos Delgado Flores,Tecnologia (Tech),Analista de Datos,2230,1331,842,236,4403,4639,2025,,Planta Industrial,Part-Time
178,Lucia Laura Mendoza Flores,Marketing,Trade Marketing,1877,1354,523,587,3754,4341,2025,,Oficinas Administrativas,
179,Carmen Rosa Gonzalez Sanchez,Finanzas,Controller Financiero,1152,207,552,1389,1911,3300,2025,,Planta Industrial,
180,Carmen Paula Morales Ramirez,Finanzas,Controller Financiero,2365,1369,453,1369,4187,5556,2025,,Planta Industrial,Part-Time
181,Sergio Hugo Sanchez Torres,Marketing,Brand Manager,1330,1081,492,1096,2903,3999,2025,,Oficinas Administrativas,Part-Time
182,Patricia Elena Lopez Rojas,Marketing,Trade Marketing,4666,1407,21,,6094,6094,2025,,Oficina Regional,Part-Time
183,Maria Rosa Gonzalez Morales,Comercial / Ventas,Preventista (BEES),2210,884,861,1049,3955,5004,2025,,Oficinas Administrativas,Part-Time
184,Laura Lucia Torres Gonzalez,Sostenibilidad,Coordinador de Agro,3637,178,908,702,4723,5425,2025,,Oficinas Administrativas,Full-Time
185,Carmen Carmen Lopez Vargas,Comercial / Ventas,Preventista (BEES),4007,,806,201,4813,5014,2025,,Oficinas Administrativas,Full-Time
186,Daniela Ana Gonzalez Suarez,Logistica,Planificador de Demanda,4675,1055,807,229,6537,6766,2025,,Planta Industrial,Full-Time
187,Elena Elena Vargas Suarez,Marketing,Trade Marketing,1154,573,652,600,2379,2979,2025,,Centros de Distribucion,Part-Time
188,Camila Natalia Delgado Mendoza,Logistica,Gestor de Flota,3218,873,290,1305,4381,5686,2025,,Planta Industrial (Matriz),Full-Time
189,Luis Eduardo Ortega Ramirez,Logistica,Gestor de Flota,4581,1170,421,1064,6172,7236,2025,,Oficina Regional,Full-Time
190,Paula Sofia Vargas Lopez,Marketing,Brand Manager,3714,942,208,353,4864,5217,2025,,Planta Industrial,Part-Time
191,Raul Sergio Ortega Ramirez,Operaciones (Supply),Operador de Envasado,3972,1319,455,944,5746,6690,2025,,Planta Industrial (Matriz),Part-Time
192,Andrea Natalia Herrera Garcia,Sostenibilidad,Coordinador de Agro,2053,1293,371,487,3717,4204,2025,,Oficinas Administrativas,Part-Time
193,Carmen Rosa Martinez Perez,Logistica,Gestor de Flota,3956,225,491,,4672,4672,2025,,Planta Industrial (Matriz),Full-Time
194,Carmen Daniela Sanchez Lopez,Comercial / Ventas,Preventista (BEES),3272,1409,209,231,4890,5121,2025,,Oficinas Administrativas,Full-Time
195,Jorge Carlos Mendoza Sanchez,Operaciones (Supply),Operador de Envasado,4845,1224,394,535,6463,6998,2025,,Planta Industrial,Part-Time
196,Rosa Rosa Castro Lopez,Marketing,Brand Manager,1453,1304,326,1340,3083,4423,2025,,Planta Industrial,Full-Time
197,Pedro Jose Gonzalez Rojas,Logistica,Gestor de Flota,3428,370,994,255,4792,5047,2025,,Planta Industrial,Full-Time
198,Andres Diego Diaz Sanchez,Tecnologia (Tech),Analista de Datos,2679,170,881,631,3730,4361,2025,,Oficinas Administrativas,
